SKU,Quantity,Attribute1Values
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S909-03S,5,"9M,9W,10M,10W,11M"
55SBR33-51S,1,
16SSLCS-66,7,"S,M,L,XL"
88C239-03,21,"6M,6W,6.5W,7M,7W,7.5M,8M,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11M,11W,11.5M,11.5W,12W"
66B261L-03,16,"3B,3.5B,4B,4C,4.5B,4.5C,5C,5.5B,5.5C,6B,6C,6.5B,6.5C,7B,7C,7.5B"
33VP20-04,9,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
33VP204 -01,6,"6.5M,7M,7.5M,8M,8.5M,9M"
67SDB22-01,25,"5M,5.5M,6M,6.5W,7M,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5M,11.5W,12M,12W"
67SDD70-04,9,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M"
67SDT810-01,9,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
88C71-01,23,"5M,5.5M,6M,6.5M,6.5W,7M,7W,7.5W,8M,8W,8.5M,9M,9W,9.5M,10M,10.5M,10.5W,11M,11W,11.5W,12M,12W"
99AL965-06,15,"5B,5C,5.5C,6B,6C,6.5B,7C,7.5B,8C,8.5B,8.5C,9B,10.5B,11B,11.5B"
99AL965-06,15,"5B,5C,5.5C,6B,6C,6.5B,7C,7.5B,8C,8.5B,8.5C,9B,10.5B,11B,11.5B"
69D62-01,10,"6M,7M,8M,8.5M,9M,9.5M,10M,10.5M,11M,12M"
83OL2136-08,5,"7M,8M,9M,10M,11M"
83OL8103-06,0,"6M,8M,9M,10M"
OL838103-16,5,"7M,8M,9M,10M,11M"
830L2132-51,5,"6M,7M,8M,9M,10M"
99AL102-44,9,"6M,6.5M,7.5M,8.5M,9M,9.5M,10M,10.5M,11M"
99AL102-01,9,"6M,7M,8M,8.5M,9M,9.5M,10M,10.5M,11M"
46DMWE-01,0,
99AL964-06,18,"4B,4C,4.5B,5B,5.5B,5.5C,6B,6.5B,6.5C,7B,7C,7.5C,8B,8C,9B,9.5B,10B,10C,10.5B,10.5C,11B,11C,11.5B,11.5C"
99AL964-06,18,"4B,4C,4.5B,5B,5.5B,5.5C,6B,6.5B,6.5C,7B,7C,7.5C,8B,8C,9B,9.5B,10B,10C,10.5B,10.5C,11B,11C,11.5B,11.5C"
66B250-03,20,"2.5B,2.5C,3B,3C,3.5B,3.5C,4B,4C,4.5B,4.5C,5B,5C,5.5B,5.5C,6B,6C,6.5B,6.5C,7B,7C"
66B802-01,7,"6B,6.5B,7B,7.5B,8B,8.5B,9B"
94GV175-09,3,"6.5M,8.5M,9M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
